,Date
0,1990-04
1,1990-05
2,1990-06
3,1990-07
4,1990-08
5,1990-09
6,1990-10
7,1990-11
8,1990-12
9,1991-01
10,1991-02
11,1991-03
12,1991-04
13,1991-05
14,1991-06
15,1991-07
16,1991-08
17,1991-09
18,1991-10
19,1995-10
20,1996-01
21,1996-02
22,1996-03
23,1996-04
24,1996-05
25,1996-06
26,1996-07
27,1996-08
28,1996-09
29,1996-10
30,1998-09
31,1998-10
32,2000-11
33,2000-12
34,2001-01
35,2001-02
36,2001-03
37,2001-04
38,2001-09
39,2001-10
40,2001-11
41,2002-06
42,2002-07
43,2002-08
44,2002-09
45,2002-10
46,2002-11
47,2002-12
48,2003-01
49,2003-02
50,2003-03
51,2008-07
52,2008-08
53,2008-09
54,2008-10
55,2008-11
56,2008-12
57,2009-01
58,2009-02
59,2009-03
60,2009-04
61,2011-08
62,2011-09
63,2011-10
64,2011-11
65,2011-12
66,2015-09
67,2015-10
68,2015-11
69,2015-12
70,2016-01
71,2016-02
72,2016-06
73,2019-01
74,2019-02
75,2019-05
76,2019-06
77,2019-08
78,2020-02
79,2020-03
80,2020-04
81,2020-05
82,2020-06
83,2020-07
84,2020-08
85,2020-09
86,2020-10
87,2020-11
