,DATE
69,2010-12
70,2011-01
71,2011-02
72,2011-03
73,2011-04
74,2011-05
75,2011-06
76,2012-03
77,2012-04
78,2012-05
79,2012-06
80,2013-01
81,2013-02
82,2013-03
83,2013-04
84,2013-05
85,2013-06
86,2013-07
87,2013-08
88,2013-09
89,2013-10
90,2013-11
91,2013-12
92,2014-01
93,2014-02
94,2014-05
95,2014-06
96,2014-07
97,2014-08
98,2014-09
99,2014-10
100,2014-12
101,2015-05
102,2015-06
103,2015-07
104,2015-08
105,2017-03
106,2017-04
107,2017-05
108,2017-06
109,2017-07
110,2017-08
111,2017-09
112,2017-10
113,2017-11
114,2017-12
115,2018-01
116,2018-02
117,2018-09
118,2018-10
119,2021-01
120,2021-03
121,2021-04
122,2021-05
123,2021-06
124,2021-07
125,2021-08
126,2021-09
127,2021-10
128,2021-11
