DATE,RF(%)
2008-01,21.0
2008-02,13.0
2008-03,17.0
2008-04,18.0
2008-05,18.0
2008-06,17.0
2008-07,15.0
2008-08,13.0
2008-09,15.0
2008-10,8.0
2008-11,3.0
2008-12,0.0
2009-01,0.0
2009-02,1.0
2009-03,2.0
2009-04,1.0
2009-05,0.0
2009-06,1.0
2009-07,1.0
2009-08,1.0
2009-09,1.0
2009-10,0.0
2009-11,0.0
2009-12,1.0
2010-01,0.0
2010-02,0.0
2010-03,1.0
2010-04,1.0
2010-05,1.0
2010-06,1.0
2010-07,1.0
2010-08,1.0
2010-09,1.0
2010-10,1.0
2010-11,1.0
2010-12,1.0
2011-01,1.0
2011-02,1.0
2011-03,1.0
2011-04,0.0
2011-05,0.0
2011-06,0.0
2011-07,0.0
2011-08,1.0
2011-09,0.0
2011-10,0.0
2011-11,0.0
2011-12,0.0
2012-01,0.0
2012-02,0.0
2012-03,0.0
2012-04,0.0
2012-05,1.0
2012-06,0.0
2012-07,0.0
2012-08,1.0
2012-09,1.0
2012-10,1.0
2012-11,1.0
2012-12,1.0
2013-01,0.0
2013-02,0.0
2013-03,0.0
2013-04,0.0
2013-05,0.0
2013-06,0.0
2013-07,0.0
2013-08,0.0
2013-09,0.0
2013-10,0.0
2013-11,0.0
2013-12,0.0
2014-01,0.0
2014-02,0.0
2014-03,0.0
2014-04,0.0
2014-05,0.0
2014-06,0.0
2014-07,0.0
2014-08,0.0
2014-09,0.0
2014-10,0.0
2014-11,0.0
2014-12,0.0
2015-01,0.0
2015-02,0.0
2015-03,0.0
2015-04,0.0
2015-05,0.0
2015-06,0.0
2015-07,0.0
2015-08,0.0
2015-09,0.0
2015-10,0.0
2015-11,0.0
2015-12,1.0
2016-01,1.0
2016-02,2.0
2016-03,2.0
2016-04,1.0
2016-05,1.0
2016-06,2.0
2016-07,2.0
2016-08,2.0
2016-09,2.0
2016-10,2.0
2016-11,1.0
2016-12,3.0
2017-01,4.0
2017-02,4.0
2017-03,3.0
2017-04,5.0
2017-05,6.0
2017-06,6.0
2017-07,7.000000000000001
2017-08,9.0
2017-09,9.0
2017-10,9.0
2017-11,8.0
2017-12,9.0
2018-01,12.0
2018-02,11.0
2018-03,11.0
2018-04,14.000000000000002
2018-05,14.000000000000002
2018-06,14.000000000000002
2018-07,16.0
2018-08,16.0
2018-09,15.0
2018-10,19.0
2018-11,18.0
2018-12,20.0
2019-01,21.0
2019-02,18.0
2019-03,19.0
2019-04,21.0
2019-05,21.0
2019-06,18.0
2019-07,19.0
2019-08,16.0
2019-09,18.0
2019-10,16.0
2019-11,12.0
2019-12,14.000000000000002
2020-01,13.0
2020-02,12.0
2020-03,13.0
2020-04,0.0
2020-05,1.0
2020-06,1.0
2020-07,1.0
2020-08,1.0
2020-09,1.0
2020-10,1.0
2020-11,1.0
2020-12,1.0
2021-01,1.0
2021-02,0.0
2021-03,0.0
2021-04,0.0
2021-05,0.0
2021-06,0.0
2021-07,0.0
2021-08,0.0
2021-09,0.0
2021-10,0.0
