,Date
0,1992-10-01
1,1993-11-01
2,1994-02-01
3,1994-03-01
4,1994-04-01
5,1994-05-01
6,1994-06-01
7,1994-09-01
8,1994-10-01
9,1994-11-01
10,1994-12-01
11,1996-11-01
12,1996-12-01
13,1997-01-01
14,1997-02-01
15,1997-03-01
16,1997-04-01
17,1997-05-01
18,1997-06-01
19,1997-07-01
20,1997-08-01
21,1997-09-01
22,1997-10-01
23,1997-11-01
24,1997-12-01
25,1998-01-01
26,1998-04-01
27,1998-06-01
28,1998-08-01
29,1998-11-01
30,1998-12-01
31,1999-01-01
32,1999-02-01
33,1999-05-01
34,2000-04-01
35,2000-05-01
36,2000-10-01
37,2005-10-01
38,2006-05-01
39,2006-06-01
40,2006-07-01
41,2006-08-01
42,2007-03-01
43,2007-04-01
44,2007-05-01
45,2007-06-01
46,2007-07-01
47,2007-08-01
48,2007-09-01
49,2007-10-01
50,2007-11-01
51,2007-12-01
52,2008-01-01
53,2008-02-01
54,2008-03-01
55,2008-04-01
56,2008-05-01
57,2008-06-01
58,2014-02-01
59,2014-03-01
60,2014-10-01
61,2014-12-01
62,2015-01-01
63,2015-02-01
64,2015-03-01
65,2015-08-01
66,2018-02-01
67,2018-03-01
68,2018-04-01
69,2018-05-01
70,2018-06-01
71,2018-07-01
72,2018-10-01
73,2018-11-01
74,2018-12-01
75,2021-01-01
